vesselId,letterPart_호제외,number_호있는것,number_호없는것,koreanNameCandidates
40be06cce-ee7c-6699-4f07-96168c929265,HYUN JIN,2013호,,현진
40d4a2c5f-f71d-bc03-624d-dfcad05c05ab,GEUMHWA,,,금화
40da8fdc6-67f0-7963-6a7f-2a684f6c9df1,HWANG HAE,,,황해
40e54ac78-856a-ba13-20fd-aa4bb2277d31,GAENG DONG,,109,갱동
40ec28a7f-fec8-e29d-deda-68bb29178ffd,GEO SEONG,,,거성
4103cb356-6fe2-469d-b34a-07b87e37f17e,YOUNG CHANG,5호,,영창 | 용창
4108c26df-ff39-6218-11f8-792b1c5efcb7,YEONG SEUNG H,,0,
41390d8b6-65e6-a8cb-d1dd-ffefd83107ce,SEUNG JIN,,,승진 | 세웅진
4175d409a-a775-8237-6633-94998acad924,ZENITH,,,
417f70849-9088-c497-e549-ec69deb74dde,BOKSUNG,,2015,복성 | 복승 | 복숭
418c612f5-5529-f18e-9ff5-68bcb7a2d6b4,SOON IL,,,순일 | 소온일
418e62d9b-bcdd-b118-3558-46f86d379f64,BUILHOO,,,부일호오
4190e26f4-41a2-94d3-be03-7024fb6c53c7,YOUNG JIN,,2,영진 | 용진
41a7a288e-e8f6-9e5a-6dcc-d377b249b3e2,YOUNG JIN,5호,,영진 | 용진
41d09c600-0e52-0295-87c9-b3c06f8d6077,GYEONGHUN,,,경훈
41d48a232-25ff-e641-e472-c9ffb5b4b2a7,HEUNG SEONG,,,흥성
41dee5f74-4d33-425b-4b94-fd3d510717a8,HWA SEONG,707호,,화성
41e11bcb4-4f31-864d-6432-d04d7904862f,JIN SEONG,,,진성
41f8605d9-967f-38d1-9903-877d1daaa7fc,IDAE,3호,,이대
41fa2c52c-c9c1-a505-adf5-1333bca60e01,BOKSEONG,,206,복성
4200aa4eb-bc40-5e4b-c1ea-7f0ca125611f,SEONG IL,,,성일
42071e231-185d-b0bb-f335-42590d4f13be,MIN SUNG,3호,,민성 | 민승 | 민숭
4221cc79d-d51d-ed7f-8c65-0b37703529ec,DAESU,,,대수
422413955-5809-4879-5786-923f9fb453b1,HYEON JIN,505호,,현진
4227e554b-b886-3c23-7b9e-2086b05c2794,RISE,,,리세
42343a146-6596-499a-fba7-2834693ae379,CHANG WON,,,창원
424b4ea98-8bc6-b1be-4c6a-195d6ca051fc,BU KEYNG,,,부경
427ee482c-c907-1de6-7303-831d927bb27e,SEUNG WON,,,승원 | 세웅원
4285f5ba1-1fab-0253-6b69-370c4c002649,HANGANG,,101,항앙 | 한강
428cdef65-5ae2-d7c5-0069-90ed56b20c46,KWANGYANG,,51,광양
42940d040-028e-7235-e78d-a9f323ca8666,WOO JIN,303호,,우진
429f1b2b8-8d2c-987b-3ad4-22d32c912a90,YEONG DONG,,1,영동
42ad430cd-d65a-1e34-0932-b3433c3cdbc6,SEONG JIN,7호,,성진
42bfb8911-1da0-d2c6-2716-dc07d68b4b5d,NEW JIN SUNG,,,
42c5d27ff-f9c2-bfbc-2a48-a835bfa54618,IS LAND@,,,
42c8fc54b-bd44-fbae-ad6b-56872c7913fa,DO JIN,,,도진
42da48857-773a-3ff7-fd9e-412a0439370d,KYUNG CHANG,2007호,,경창
430d5eeab-ba29-b44c-7b48-371d9fcfbf04,DO WOO,,,도우
430f5b643-3a4f-2dcd-931a-301bf51dd5d1,JOYANG,77호,,조양
43132f1ca-ac6a-db71-9e3a-4e248c821a87,SUNGYONG,,2005,성용 | 승용 | 숭용
43136e2f3-3ff2-1e12-6c13-59f26aa024fa,SANG MYEONG,107호,,상명
43231d0d7-7c99-7053-6343-3d3901378e9b,PUNGSUNG,,,풍성 | 풍승 | 풍숭
4331de16e-e811-7136-753f-5a480415d2e4,GWANGSEONG,,,광성
433692067-7eb9-fa80-fad3-1d9c5273f676,CHUNSEUNG,,,춘세웅 | 천세웅
433cc776f-fa59-ac56-7ca3-b5236c9290ce,YE JIN HO@,,,예진
43467cccb-b0e5-c85d-febf-eead82037a1a,DAEHYUN,,307,대현
434db352a-ade6-74f2-d3a1-d7ace3a8149c,DAEYANG,123호,,대양
434f87f20-0ee8-073d-a2e7-c7509067c8aa,SEAFACE,,,
436d878e0-05d8-d2c4-a213-95aec9913146,DAE YOUNG,,1,대영 | 대용
43727fa12-2039-1274-ab15-5d234faf66d5,HAI SUNG,,,
437b7a9e5-5e23-efce-d24e-754c0f2838f0,GIL SUNG,,,길성 | 길승 | 길숭
43b3a1ef3-3858-a31d-b672-e970dcbfd883,CHOE SIN,,,초에신 | 조에신
43b4b64c9-9451-6770-16ba-dd8ff4b6ac0f,SI LAEND,,,
43cb18bbb-b83b-bf00-b6a1-e2c59a392862,HERA,,,
43d7b6e09-9316-01f0-60c6-48068c18d007,SIN WOONG,,,신웅
43ea4e25e-e6e5-4910-aa7f-ca28b979fc10,JEONGSUN,,75,정순 | 정선
43ecb4ed1-1333-7046-7c36-459bc65bf562,SIN KWANG,,,신광
440296060-0855-105f-9501-058053abe98b,MAN SUN,,33,만선 | 만순
44195adc9-9b3a-a3d2-2cd1-ee37300cc171,MISAM,,1,미삼
442fb8e80-0793-fbc5-b018-72ec46a40461,SIN JIN,7호,,신진
443ec8ad0-0305-0d6b-3a44-246f78d0784c,HEUNGSEONG,,208,흥성
4440d1cca-ae6a-71f9-ec59-34cfde2b665a,JAEYOUNG,,2,재영 | 재용
4441f2b56-6ab8-e308-0e4b-6e61a452e448,NEW KWANG DONG,,2014,
444eb486a-a02d-bc97-442e-6e8f0e5b3b33,DONG YANG,,,동양 | 동향
444fa9505-5d1e-0b48-d8f7-765fc4b156cc,SEI,,,
4479315ce-ece8-6252-8722-c712bc1704c2,DONG YANG,800호,,동양 | 동향
4481eb5ee-ee3b-f3f8-a57f-045133cf86c9,SU EOK,,,
448802afc-cf18-6c7b-62f3-89c756ad9efb,SAMGWANG,88호,,삼광
4489f54cc-c255-3551-ff03-b3437927b229,SUSAN,,,수산
448c65f60-0c70-9b97-bf58-bfe95837b095,CHUENG UN,,,
448cc9df4-485c-e2a9-7ca9-04df5cc93429,GYEONGDEOG,708호,,경덕
44902d839-98ca-560e-f981-756b7311e7aa,GYEONGWON,,311,경원
4490c726d-d338-d264-69f8-fbd9e0eb1f60,NAMHAE,,,남해
449f01aac-c9f1-5490-bcd0-ed4c1bf2b8e1,YU GEUM,,7,유금
44a773354-4f0b-a701-756a-b1ac61b1293d,SHILLA HARVESTER,,,
44b1a8928-84c7-2307-f5ed-fef398c2440f,DONG BACK,,,
44b1f606f-f43b-ea36-f958-67b5bceea4ec,GYEONGNAM,,,경남
44b7d65d2-2b32-c491-6183-312fbb9c9595,HOMERUN,,,
44c15f67b-b607-99a5-77e9-6b8a24d674bc,BOK YEON,,102,복연
44d8f0f20-0f42-f7d1-4efd-5dbf2b7876b7,G .O . D.@,,,
44ddd8e77-7cd6-7a4f-f110-3e11a2d2d187,LU_KI_NA_,,,
44e5ced5f-fcc0-f141-56d4-461637b77239,MYEONG SEONG,,,명성
44ea73e14-42f1-b68a-c00d-11ece69ef321,SIN SEONG,216호,,신성
44f131acf-f91e-839d-ab4f-4075a7f177e9,CHAMPION,,,
44f3705e2-232c-fa14-3cff-61d7fc46b456,NEW PINIX,,,
44f954278-84cb-b5fb-5bf9-5a1d1d645d38,BAEK MA,,,백마
4502c005f-fb71-bed5-3f34-5cf8c905ae7d,SHIN SEONG,,,신성
4505c23d1-15e6-412e-763b-357378fc37a3,MIJORA,,,미조라
45088ab07-7828-7051-a313-cb9733b3a6ee,JENAM YEONG,2호,,제남영
450a7da3e-ee1d-509b-2e38-867769e238d7,WON JI,,,원지
451b063cc-c28c-8fb0-33ca-8175dc8f2f44,CHEONG HAE,,108,청해
452264e8c-c922-c1df-6def-553af831706d,GEUMSUNG FISHING,,,
452d2f1ac-c4ff-46cb-f6ce-bb80ccc6ab3b,YONG SEON,,,용선
4555ba656-6607-dc09-ef27-0ca344690d1b,CHANGDAI,,,창대
455715c98-8c99-6dde-2c84-af6bd0d0eeb0,HAEWOON,,,해운
45799bad0-0d04-1a36-7b60-79ab1765145f,RA ON HO@,,,라온
457d2acd2-2ff3-eb6f-7037-d6bb29eac3d3,SIN MI JU,,,신미주
45a00741b-b5af-2464-4bd0-4be4c1a2f22a,JANG SUNG,,,장성 | 장승 | 장숭
45a0629b8-8870-79bd-cf00-35c777ecc9b9,JI WON,3호,,지원
45ae25aca-ae46-e4a6-e9f8-39400267356e,HAN IL,109호,,한일
45ae83102-2112-1271-9621-082e032e101a,CHEONGYANG FISHING,,,
45af6bfb5-5ce6-e276-0c89-9b34ab55a74e,KORYEO,,2,고려
45bc23aae-e839-4408-ee67-d83297e3944f,HYUP SEONG,,,
45c0706ba-a9fa-8651-869c-aae851327485,SIN JIN,,,신진
45e75694f-fcb6-f38f-85e7-f56d8e4e1d7a,JIN SEONG,,,진성
45faf6524-42bf-90bf-153b-d65c1c9f1885,BLACK STONE,,,
45fd02d79-9c0a-2369-7fe8-71399748d423,MYEONG JIN,,,명진
461e0de61-117a-e325-40cb-acdb59f78107,SAM JEONG,,,삼정
462cddacb-b143-fc95-0e8f-f968956063dd,NEW SA RANG,,,
463e70963-3983-35c4-5006-5fd667b75e0e,SINDEOK,,,신덕
464f50acb-b96a-d25b-090b-edb3afeb13a5,CHEON IL,,333,천일
467becbdb-bde6-d8a1-8698-404615e75a9f,HAE GEUM,,101,해금
467f0d179-977d-411e-bb28-94048c2bc8df,DAE DONG,,3,대동
468566279-9d57-1def-0c50-cd2b4ddc7be9,JUYEONG,,,주영
46912b26a-a236-4e4c-181f-1c1dbbf7cfa1,YE IL,,,예일
469aad5d3-3048-92b0-c108-6bf1cf7751bf,HEE SUNG,,,희성 | 희승 | 희숭
46a41a80d-d2cb-822f-2e7d-eea5a85fcf45,SAM SEONG,,,삼성
46a54fdce-e452-373d-ea3f-ff4cdd077afd,GUMGANG,,707,금강
46b51e21f-f35e-00f9-aab4-f0672b9dadf0,MIN SUNG,22호,,민성 | 민승 | 민숭
46bab19d4-499b-efd9-0e65-52edb2559f35,DAE SUNG,,,대성 | 대승 | 대숭
46c29eecc-c515-4fc7-e768-1f869a908320,CHANG NAM,,,창남
46d0ec757-750f-8940-cbcd-a9a3dcc45d9d,DUK SUNG,,,덕성 | 덕승 | 덕숭
46d8cc38a-a77d-3d99-15f7-7b5f430a2c2b,MASTER,,,
46f2cf22c-cd74-9cf2-b7f0-d9ed9d16530c,BEST,,1,
470a9c9f4-4047-0bfb-8066-43ca9f3416e5,SUNG UNG,101호,,성웅 | 승웅 | 숭웅
470d55409-95a9-5701-f2ae-4dd3ba88c648,GWANGSUNG,,205,광성 | 광승 | 광숭
471e27513-341d-e227-a68e-cbfbf4aaf354,DONG IL,,5,동일
4745d7d55-54fe-409f-a504-9d79ab69c1a4,DAE HYEON,,,대현
4759dbfac-c6a4-9d3f-7315-31464f2f3aa8,YUJIN,,9,유진
475c84192-2d24-4e49-672b-7b251f9fadaa,SEUNG RYONG LEE,,,승룡이 | 세웅룡리 | 세웅룡이
476e34051-10e9-c3f0-5f7e-0d481ac4a59a,SHIN YANG,,,신양 | 신향
477b90986-6d35-6c26-55a7-46ee9c80f697,JIN NAM,,,진남
478f0d4a0-0b1e-4324-3eb1-045f88e42995,TAE PUNG,,,태풍
4793625b1-1a4b-bf82-763b-314fe69e34d0,IL SEONG,2026호,,일성
47f1c30df-f49e-cab3-d1e0-4b4c68fb2585,GWANG BOK,1호,,광복
481199abb-b8c9-685d-d320-6065b10a58e4,HAE IN,213호,,해인
481342fe2-2f1c-3145-3cc3-b00dc6c65e80,WOONGCHEON,,88,웅천
4836d77c2-287f-53a6-1388-458ac111eab5,MYEONG CHEON,,78,명천
485f6e248-85f0-1e6b-4c49-b3a2572461ee,GYEONG IL,,2017,경일
48810f904-41a8-9631-349e-b2a5cd9f4371,MYUNG RYUN,,,명륜 | 명윤
4882eb06a-a43f-7305-5cc5-432b044ea957,HAE SUNG,1호,,해성 | 해승 | 해숭
4887285b2-2b6b-edcd-a76f-9745a355e2d0,HEUNG JIN,,,흥진
488cbc047-79c1-d06d-629a-e0b18d910ff3,JANGWON,,,장원
4892b2301-1b7e-9d94-7461-fc8a9eb89302,GEUMHAE,,208,금해
48a652da5-5477-196c-a603-2d84ecf6b624,DUCKIL,3003호,,덕일
48a7a0de3-3ff9-fd1a-82fd-60692f24eefc,YEONGJIN,,935,영진
48c441fd8-8387-d960-4f92-199729d7f7df,SIN YEONG,,,신영
48c5b2b6a-af7a-6b72-2b3c-289862ac05e5,YOUNGJIN,,,영진
48d1b6fea-a028-1817-27c5-879456ab1292,CHANGSEONG,909호,,창성
48dddf9a5-5b38-80d0-332a-b96b6bbf9755,PHOENIX,,,
48e1d6b54-432d-b1e0-9ff9-b86c13c5f575,MO. DAE WON,,2,모대원
48f2e6dea-aa8d-76d9-26a5-29ba89195788,RED SKY@,,,
48f58b36e-edd9-9625-58f1-05245dbeb560,DAE GIL,,,대길
48f94f758-8262-af88-5868-13219484c19e,YU.SUNG.,,,유성 | 유승 | 유숭
4917f2781-11ce-9414-5627-b573a5fda21b,GYEONG YANG,,,경양 | 경향
49223e5ab-b98f-abad-393f-fed83948dbee,NEW AINS,,,
4938ec07c-c80c-bd00-6862-1a2d3bd7b46c,UN SOO,,,운수 | 은수
493e298f3-3dd4-c37c-ab48-f0f085cc3657,YOOSUNG,,101,유성
493f984d4-4f41-0246-b4b3-f0fe0901aa13,CHEONG HAE,,77,청해
494a11521-19cf-af14-476f-e81d7fc19ab6,HAE OON,307호,,
4972df34c-c105-f0b9-24b2-98da61b2e1c0,DAE WOON,,,대운
4979768df-f9e7-4723-a761-7fd35ac6a1d7,GWANGYANG,,52,광양
4988c592e-e5b0-3d0c-0eb0-c3e9e206c67e,HAWAII,,,화아이이 | 하와이이
49a92ad57-70ca-bbaa-c714-df7c413d5d48,DAE GIL,2021호,,대길
49b0c7326-6e19-5b5e-b758-5d1bf9b9fcfa,SEONG WOO,3호,,성우
49b14d8a7-7377-2fc7-e1a0-231e017f2053,NAM YANG,,,남양
49b7da0e6-6fdd-a529-7953-26e5bd8974a9,MA LIN,21호,,마린
49b8582cd-d566-e6e9-8d8b-4fc4b9980cb8,WOO JEONG,,2021,우정
49bd700a7-7a26-a5d1-8117-6cb0aded1485,GEUM GANG,1호,,금강
49ce4be8a-a83a-eb0b-1689-9e8415db0d87,BACKBONG,,,
4a12c4293-352b-821c-5b2f-7c4e790522f7,HAEYEUN,,,해예운 | 해예은
4a298235b-b5ac-7626-24e8-56cb87446e97,JE VENUS,,2,
4a2e859c7-7b7c-8940-33ff-766999fb084f,FIORD,,,
4a35a0eee-e733-6436-1cf3-208b54e6d01f,JE TEA YEONG,101호,,제태영
4a39156fe-edc7-296a-1f32-5e4b66112b02,MYEONG JIN,,,명진
4a3c4525e-e7c0-4508-9055-de2530ceb816,HAIJIN,,,하이진
4a5400afd-df18-0942-c3fd-55f37b52febb,KYOUNG JIN,7호,,경진
4a5c3e71c-cb0c-441a-cf77-43f9917261ae,IL YOON,,,일윤
4a6879ee7-7d4f-3c71-644c-c662c511b0d0,EUNSUNG@,,,은성 | 은승 | 은숭
4a798bbc8-8e2c-f13a-abfc-d4d18a323013,WOOJIN,,,우진
4a873e5da-a342-03a8-9468-adceb7ec4c0b,CLASS,,,
4a9063f27-7823-84da-2878-3b6ed1a9385f,GENESIS,,,
4aaf7500e-eb73-8836-19ee-7e3c78bcc305,BONGLIM,,2018,봉림 | 봉임
4abcf46b0-0500-b821-5e84-912b524191d4,TEAPYUNGYANG,,,
4ac88b0ae-ed1f-8bdf-7af5-e97aa8fa2037,NEUNA,,,네운아 | 네은아 | 네우나
4ac8e3d11-19d0-91dc-557f-c51af665eb82,EUN GAL CHI,,2,은갈치
4ad034c4f-f22d-614b-dcb9-95f5f8ab70e5,LEESUNG,,,리성 | 이성 | 리승
4ae1dea3c-c1f1-1cff-de1e-37056507b1d6,GWANGMYEONG,,308,광명
4ae43bb18-8aa5-3252-336b-10c07fb6b8ba,GWANG JIN,,,광진
4ae926c14-4f7a-c316-2386-2ef3594ec1fe,DAE YONG,,,대용 | 대영
4af3f3c2b-b56c-8a15-3726-edcb8a32c229,BO BAE,,,보배
4af3f7966-66e4-cbe9-09b4-d2228dea0ead,CHEONGYONG,,,청용
4af717d4b-b9ab-e9ff-bd40-43ab61575d61,SOO YUNG,,,수영 | 수용
4af7f3abf-fb72-4c56-63b6-1d1f37a2d321,WON SEOK,,,원석
4b0178b4a-a05d-69dc-2695-8533bfdb18de,WOLDEU,,217,월드
4b0d01ec8-8e03-1907-6bbd-6678b1fee4b6,KYUNG SHIN,,,경신
4b2111bd6-6725-bad0-8e8a-5fa3a1697ef9,YONG SUNG,,,용성 | 영성 | 용승
4b274c547-769d-2625-51f2-f3455aaad315,OKJIN,,,옥진
4b2a4c316-63fa-8ef8-9a17-81165a9cb623,JE HAN IL,88호,,제한일
4b2eb71a6-6b25-194d-2911-a56eb8dd4fd5,MISAM,,1,미삼
4b3f1be07-77d2-7b5d-1f6a-884bfebd2a26,DAI HAN,,,다이한 | 대한
4b516b0af-f66d-0b20-0455-4c871540a826,TAE SU,,,태수
4b5584349-9b65-d830-1ceb-fdde288764ef,MI REU,,,미르
4b6e3cd66-6f99-2a38-93d0-95ffacf4910c,SARANG,,,사랑
4b7ac4789-98e8-39df-acf4-c8ab20717237,AQUA,,,
4ba3b289b-b24c-c8a2-c9aa-55ca483c9b72,GEON YEANG,,,건예앙
4babff2bb-b623-c745-9e67-7677ed1a3229,SUN KYEONG,,36,선경 | 순경
4baf8f42d-df79-1d63-b98b-900b8b83039d,MISO,,,미소
4bb14cd22-2bea-e289-57b8-828b90971fe8,YOUNG SU,,,영수 | 용수
4bb53a128-802e-061c-4a8a-bc7f025f2188,SU BOK,102호,,수복
4bc02a3b6-620a-1f8d-3921-68c6f6d66296,NAM HAE,,,남해
4bc498f98-851d-978f-51f4-5461be41ec6f,GEON YANG,,2025,건양 | 건향
4bd74dac7-7634-421b-b17b-fc54e4e6d1d2,JE HAESEONG,9호,,제해성
4bf2861b0-0179-2583-5517-4e538df07c3f,MIREU,,,미르
4bf57af7a-a7ab-e399-d86e-dd503ad19c52,MAN SEOK,,2017,만석
4bfaddcad-db74-d4c9-87f0-90f47078550e,BOON DO,,,보온도
4c0b14fab-b8f1-aa6e-ef9b-2f21e6d7663f,SAM IL,,,삼일
4c0f83611-138e-99c9-fc46-b9795193cad8,MYUNGJIN@@@@@@@@@@BY,,,
4c1512780-0726-eebd-e36c-ae40384ae4a0,HUIYUNG,,98,희영 | 희용
4c2481bbc-c39d-1cf4-8904-51442f0861b1,NEWVANCOUVER,,,
4c41f783b-beab-c3bf-f07d-7fee9af613d6,NO. KEOMBOCK,,25,검복
4c4781139-9369-7c36-f8e8-a42f6247a149,IL SIM,,208,일심
4c49199e9-961b-1d7e-aa24-ab81479517a1,YONG JUNG,528호,,용정 | 영정 | 용중
4c8598afb-bd44-75fc-2ec7-7deb1422ee93,BO KWANG,808호,,보광
4ca82925f-fa78-544f-f34b-02e6ce41ed67,UJEONG,,,우정
4cd1803bf-f3e3-9318-7449-d93cacaf59e9,MYOUNG JIN,,,명진
4ce58a0d0-027e-0bd2-baf9-73a05b8c121a,HAE DONG,508호,,해동
4ce6d3105-5700-a5c6-af52-d479e0e2ecda,SUNGJU SAN,,,성주산 | 승주산 | 숭주산
4cebd3e4f-f829-7a73-0842-4b449ef75ffa,TONGYOUNG,,87,통영
4cf319333-30d2-0865-190d-2a24717168fe,JOOL LI ANA,,,
4cfa4a822-21fd-ca18-48b6-e683ee019fa8,WOO SUNG,,,우성 | 우승 | 우숭
4d00aea8c-c41f-7698-e6c0-8ec8358a4eee,BU CHANG,109호,,부창
4d0c47b00-0f2d-df99-cd4a-f64d9398bd87,DAE WANG,,,대왕
4d12c74cd-de8a-246c-201e-35e0cec5140f,HAN SEONG HO@,,,한성
4d13d6274-4fcd-f968-83b4-24779d59a527,GAGEOSEUTA @,,,가거스타
4d154f673-30c9-9920-0aba-1311eafc74a9,AN SEONG,6003호,,안성
4d1562f4b-b597-7978-5783-6c71de540520,KWANG SEONG,,,광성
4d163751a-aafb-9bd5-2c83-2dfb44e52824,NO. TAE HEUNG,,102,태흥
4d1d2b9b7-7deb-b05b-a16e-c2723c65c6f0,CHEONG YONG,,,청용 | 청영
4d20733cf-f42e-0dfe-9590-4c9ca082743a,HI YEONG,,,
4d584a1cb-b17b-1a95-09d3-e520c8ff7bdd,NEW BUKUANG,,,
4d5dbaeb2-2bc9-50be-6be9-fe331a9b25e0,NO. KEUMCHANG,,88,금창
4d5f23af6-607e-e96e-74b3-dcdeed3e553b,SE JIN,,,세진
4d6f26055-5f50-1820-6c85-5db496e260a5,HAE GWANG,,,해광
4d71938c3-3b19-b8b5-c745-38966727d437,ACE,,,
4da64ba00-0ff6-5cf2-38a8-a5de5dbee647,MANSEOGHO_,,101,만석
4da78efe5-539f-fa16-8cdf-35a06f473ad1,MYUNGSEONG,,207,명성
4dad39f6f-fc18-f8b2-40fd-a15977803bfc,POONG SUNG HO@,,,풍성 | 풍승 | 풍숭
4dae50898-886e-ee75-153c-329ba8c27a67,JEEUNJUNG,,2,제은중 | 제은정
4dbf172c6-6727-a56b-f839-bb7bcd7bc8c0,RA PA EL,22호,,
4dd96b8ae-eb2e-cf7e-8e2f-8bd63e46ed41,HEUKSANHOOK,2호,,흑산
4dd990413-31d3-708d-c255-944b56dfaf2d,KYENGNAM,,106,
4de8fec07-704c-8bf5-3466-4e6292a17007,KILSUNG-,,,길성
4dee8745e-e840-c70f-3ba3-598db2f1140d,MANBOK,,7,만복
4dfd9a1c0-0dcf-2a21-58a5-d84fb5dc6fe4,SINSUNG,,807,신성 | 신승 | 신숭
4e039bb7a-a4fd-0c48-8dde-4733cd28abf0,JAIEONTEU,,2,자이언트
4e21b18b2-2766-4372-14f8-44cc4139a001,YEONG_DEOK_,,,영덕
4e23ed997-7084-3be8-0933-1879d7ccaf19,KYUNWON,5호,,
4e350e92d-deb5-be09-022b-8d85c9b8cfb2,JAE SUNG,,,재성 | 재승 | 재숭
4e388a3c9-9feb-d7ca-2fef-e85b29f7e88d,SANGLIM,,,상림 | 상임
4e448069c-c450-34db-e32e-3560edf4a12e,YONG SEUNG,,58,용승 | 영승 | 용세웅
4e48ed5f2-2efc-36d8-d545-2c9500a724e0,HEA DEOK,,,해덕
4e4981f39-95de-1d04-f499-bc0e0c3ae429,SINMYEONG,,,신명
4e4f7d884-47bf-a09d-15e3-e03f5e7a951c,YU JEONG,,,유정
4e562b5dc-cb08-2aca-4494-a7483263a10f,SUNGJIN,3호,,성진 | 승진 | 숭진
4e5a615c0-0248-678f-786a-318ea504a53a,JEONGSUN,,51,정순 | 정선
4e5f55b98-8624-63d9-67bd-eebdecfa580c,SAM SUNG,,,삼성 | 삼승 | 삼숭
4e6dd8f53-3c50-c67a-b4e9-82705472ef26,MEOSJANGI,,,
4e7918574-458b-ba83-637f-2fd17f0b15de,GEO SAN,,,거산
4e83bfa6e-e804-a264-3b33-0a3933a02c64,MANSEON FISHING,,,
4e8b0c2ae-ef3e-09f5-0fa2-c03d47c4c15c,HANJIN,2013호,,한진
4e942eb81-1b66-c5f3-953a-a200e19191ae,HWANGSEONG,,,황성
4e9d11e22-2e30-d336-3282-1977ee1a0997,BOK SUNG,,,복성 | 복승 | 복숭
4ea7f1650-01f2-d7da-7255-cf58590d1ef9,DAE SUNG,26호,,대성 | 대승 | 대숭
4ebdf8cfc-cda8-3e6a-60f8-403d9a7eea12,DOYEON,,,도연
4ec198f43-3303-98d2-7b23-9dd826f0c9e5,HAENG UN,,,행운 | 행은
4eee36903-318e-a006-3c49-813cda2eab11,HAE SEONG HO@,,,해성
4efc0dfac-cbd2-e989-4dd5-dc4c40dc3094,SUNGBOK,,,성복 | 승복 | 숭복
4f001f1be-e6cc-18c4-da01-4a4d2106f53b,SU GWANG,105호,,수광
4f33149ae-edc2-ce29-517c-ebe96ddac43d,ILSEONG,,,일성
4f43c98d3-33a1-110f-de71-fb117d8f1ba6,NAM SEONG,,,남성
4f4976081-1833-7cd5-b0c0-cb1b0d74d105,YEUNGJIN,,,예웅진
4f59b8068-8f69-ded1-3b68-f95354d35e25,HAE YOUNG,6001호,,해영 | 해용
4f5f5bd72-2201-58f0-f411-c7a95e3c46ec,YUSUNG,,2017,유성 | 유승 | 유숭
4f66c01f7-7366-b59e-0113-6d10a96fa5ea,DAE CHANG,,,대창
4f8d78f60-07ee-7d53-5c36-3ede1130cd71,HAE SUNG,,,해성 | 해승 | 해숭
4f9792eed-d1b2-6c8c-89aa-d59e6c6e42c1,EUNCHANG,,,은창
4faca7f05-5541-2ccd-88f3-b26548fae02c,DUK KIL,,,덕길
4fc573442-2df8-dc65-bb6c-e6fa552e7bb8,JIN SEONG,,,진성
4ffe61ac4-487a-9275-63c8-ab3775a4d5bf,SEO KWANG,3호,,서광
4fff18d70-0028-5398-82ea-f6e8d8e441ed,DU BAE,,607,두배
5001b5aa3-3100-300a-1fc8-153ce03d38b5,BA DA,,,바다
50032bedd-dbc6-883b-07f9-bbf877137709,HAE JU,,,해주
50080a3f0-0714-372a-5f51-44afbeae02ef,DAEHAN,,2,대한
500c97f4e-edb2-afae-ca8c-2d642d666fa9,SAECHEONNYEON,,853,새천년
50233f97a-adf2-97a1-ad6b-24203dd2b45b,KUM YONG,,,금용 | 금영
502605d68-8629-8c4d-6fde-b455f48f5e3c,ON NU RI,,,온누리
5030639d4-4f87-aa69-1d89-8dc7d7b75c38,ANJIN,,,안진
503de0417-7012-4294-5e82-a1b11edf89b1,CHUNG JIN,7호,,충진 | 청진
504144863-354b-e06d-904f-1abe6e7a42d2,GWANG SEON,,,광선
5041dc199-98d2-dab1-b6ef-a590284389d3,DAE JIN,,,대진
5042f22a7-7d4b-1d20-8a31-d7712f117ef7,BAEK KYEONG,,,백경
50437f203-3ff9-59dd-c0e0-e81094b4565f,YONGJIN,,,용진
504579bc9-9964-e280-173f-908a1f527283,JIN SEONG,275호,,진성
5056d5bc5-5d90-b00e-361d-1fe89c594415,YOOJUNG,,,유중 | 유정
505c783e3-37c6-1da5-6534-fa26834ffd89,VICTORY,,,
506f0311c-c13f-dab8-badf-c567a0dc6d7d,PUNGSUN,,668,풍선
507362e34-488b-4e99-a830-fab2bf15b135,JINSUNG,,37,진성 | 진승 | 진숭
507bbd945-56b8-de02-7aa1-25fc0a2350ff,PYEONGEUN,,,평은
507d6e46d-d5fb-d19f-69d0-99c94eb3e93b,DONGJIN,,,동진
5091731f2-264c-20e7-3690-cd92874b0db7,DEOK JIN,29호,,덕진
50c96fff3-371b-8c05-1044-df309dcff0f1,HYUN DAI,,,현다이 | 현대
50e9e7bfb-b291-cc21-80ac-03b935ba8b32,JE CHANG KYUNG,5호,,제창경
50f8d5fa3-3430-177e-5194-12756439a5e7,ZENITH,,610,
510e3724d-d096-e5ec-9179-bb56ec77ce67,YEONG SEONG,,2045,영성
51394454b-ba4d-30b3-c8a5-a4304e098bba,HWA YOUNG,,,화영 | 화용
514346331-174a-74da-123f-1f1941216916,JAIEONTEU,,,자이언트
514ea69b6-6139-4a58-4d22-b767c4596d6e,GYEOL SEONG,,,결성
5151be32a-aa70-1c99-37e8-6cdb534c6148,LEE SEONG,,,이성 | 리성
516c8e4b1-1d79-6b2a-d28e-8d9b27476954,MYEONG SEONG,,,명성
517516ec7-7198-7d2b-d82b-166da3e9a7af,SEUNGJIN,,109,승진 | 세웅진
5189cebea-a1f7-5d3b-e84e-03899b8eb5b5,DURI,,,두리
51a3802f6-6853-5f96-eb77-e96fac4c1fc3,MANSEONG,,,만성
51a83a677-7c3a-335e-9bb4-1a0813d2720a,SEO RYEO,,,서려
